id,text,retweetCount,replyCount,likeCount,quoteCount,viewCount,createdAt,bookmarkCount,author,tweet_length,clean_text,sentimen_bert,confidence,topic,macro_topic,topic_weight,sentiment_score,crisis_score
2058239245148651767,"kondisi negara udah bener bener diluar nalar

- sumatra blackout 
- jabodetabek begal &amp; teror pocong
- papua pesta babi
- ihsg &amp; rupiah melemah 
- mbg &amp; kopdes
- bencana banjir di aceh belum pulih

ini apasih ini apaan",0,0,0,0,2,2026-05-23,0,ensivo,230,kondisi negara udah benar bener diluar nalar sumatra blackout jabodetabek begal amp teror pocong papua pesta babi ihsg amp rupiah melemah mbg amp kopdes bencana banjir di aceh belum pulih ini apasih ini apaan,negative,0.9891480803489684,0,Macroeconomic Crisis & Government Response,1.5,1.0,1.4837221205234525
2058239197652406671,"ciecie joong jadi rupiah bgt didepan bininya 🤭🤭
https://t.co/1iZRsPfePL",0,0,0,0,2,2026-05-23,0,natachaintikk,71,ciecie joong jadi rupiah banget didepan bininya,positive,0.5345760583877563,3,Rupiah Exchange Dynamics,1.3,0.2,0.13898977518081665
2058239004710158506,membeli semua make up konser 0 rupiah karena co pake sopi ibu 🤍,0,0,0,0,0,2026-05-23,0,3JSPACE,63,membeli semua make up konser 0 rupiah karena co pake sopi ibu,neutral,0.9528716206550598,9,Inflation & Public Economic Impact,1.4,0.5,0.6670101344585418
2058238886363668815,Nilai tukar rupiah gak disamain ma yen aja gitu? 😭 biar gak pusing ngitung2nya. Dr 3600 ke 600rb tuh serasa gimana gitu 😭😭,0,1,0,0,2,2026-05-23,0,rainy_snowflake,122,nilai tukar rupiah tidak disamain sama yen saja gitu biar tidak pusing ngitung2nya dari 3600 ke 600rb tuh serasa gimana gitu,negative,0.7774707674980164,-1,Outlier,0.7,1.0,0.5442295372486115
2058238081271308426,aduh aku bacanya ikutan kaya rupiah,0,0,0,0,3,2026-05-23,0,zss0ur,35,aduh aku bacanya ikutan kaya rupiah,negative,0.9897527694702148,3,Rupiah Exchange Dynamics,1.3,1.0,1.2866786003112793
2058237966309613886,gua mau ngomong kangen aja mikir sampe rupiah sekuat dollar singapura.,0,0,0,0,5,2026-05-23,0,voulGare,70,gua mau ngomong kangen saja mikir sampe rupiah sekuat dollar singapura,negative,0.9851963520050048,3,Rupiah Exchange Dynamics,1.3,1.0,1.2807552576065062
2058237951377805472,"@CNNIndonesia - Berapa Trilyun Rupiah yg sudah disumbangkan olh Danantara kpd Pemerintah/APBN? 
ZERO. 
- Transparansi Danantara? 
TDK TRANPARAN. 
- Hasil Audit BPK thd Laporan Keuangan Danantara? 
BELUM ADA.",0,0,0,0,4,2026-05-23,0,meliksuman74092,207,berapa trilyun rupiah yang sudah disumbangkan olh danantara kepada pemerintah apbn zero transparansi danantara tidak tranparan hasil audit bpk thd laporan keuangan danantara belum ada,negative,0.9152637124061584,-1,Outlier,0.7,1.0,0.6406845986843108
2058237793986556403,untung beli membership sblm rupiah ekhem…,0,0,0,0,0,2026-05-23,0,Jinniejuiceyo,41,untung beli membership sebelum rupiah ekhem,positive,0.6326663494110107,-1,Outlier,0.7,0.2,0.0885732889175415
2058237313441030174,"@mahasmashana @muncorner Males, nggak ada yang encok di sini kecuali Rupiah.",0,0,0,0,12,2026-05-23,0,warmestarms,76,males nggak ada yang encok di sini kecuali rupiah,negative,0.9869177937507628,3,Rupiah Exchange Dynamics,1.3,1.0,1.2829931318759917
2058236758228378007,@Akuhrsottokeh Kaki Kalandra 🤝 rupiah,0,0,0,0,0,2026-05-23,0,RRubyverse,37,kaki kalandra rupiah,neutral,0.9957950115203856,3,Rupiah Exchange Dynamics,1.3,0.5,0.6472667574882507
